time,x,y,z
0.0,3500.620219783353,16360.484422867567,4270.428975000002
0.1,3500.6202197833522,16360.484422867561,4270.428975
0.2,3500.6202197833522,16360.48442286756,4270.428975
0.30000000000000004,3500.6202197833522,16360.48442286756,4270.428975
0.4,3500.6202197833477,16360.484422867545,4270.428974999994
0.5,3500.6202197833477,16360.484422867545,4270.428974999994
0.6000000000000001,3500.6202197833477,16360.484422867545,4270.428974999994
0.7000000000000001,3500.6202197833477,16360.484422867545,4270.428974999994
0.8,3500.6202197833477,16360.484422867545,4270.428974999994
0.9,3500.6202197833477,16360.484422867545,4270.428974999994
1.0,3500.6202197833477,16360.484422867545,4270.428974999994
1.1,3500.6202197833477,16360.484422867545,4270.428974999994
1.2000000000000002,3500.6202197833477,16360.484422867545,4270.428974999994
1.3,3500.6202197833477,16360.484422867545,4270.428974999994
1.4000000000000001,3500.6202197833477,16360.484422867545,4270.428974999994
1.5,3500.6202197833477,16360.484422867545,4270.428974999994
1.6,3500.6202197833477,16360.484422867545,4270.428974999994
1.7000000000000002,3500.6202197833477,16360.484422867545,4270.428974999994
1.8,3500.6202197833477,16360.484422867545,4270.428974999994
1.9000000000000001,3500.6202197833477,16360.484422867545,4270.428974999994
2.0,3500.6202197833477,16360.484422867545,4270.428974999994
2.1,3500.6202197833477,16360.484422867545,4270.428974999994
2.2,3500.6202197833477,16360.484422867545,4270.428974999994
2.3000000000000003,3500.6202197833477,16360.484422867545,4270.428974999994
2.4000000000000004,3500.6202197833477,16360.484422867545,4270.428974999994
2.5,3500.6202197833477,16360.484422867545,4270.428974999994
2.6,3500.6202197833477,16360.484422867545,4270.428974999994
2.7,3500.6202197833477,16360.484422867545,4270.428974999994
2.8000000000000003,3500.6202197833477,16360.484422867545,4270.428974999994
2.9000000000000004,3500.6202197833477,16360.484422867545,4270.428974999994
3.0,3500.6202197833477,16360.484422867545,4270.428974999994
3.1,3500.6202197833477,16360.484422867545,4270.428974999994
3.2,3500.6202197833477,16360.484422867545,4270.428974999994
3.3000000000000003,3500.6202197833477,16360.484422867545,4270.428974999994
3.4000000000000004,3500.6202197833477,16360.484422867545,4270.428974999994
3.5,3500.6202197833477,16360.484422867545,4270.428974999994
3.6,3500.6202197833477,16360.484422867545,4270.428974999994
3.7,3500.6202197833477,16360.484422867545,4270.428974999994
3.8000000000000003,3500.6202197833477,16360.484422867545,4270.428974999994
3.9000000000000004,3500.6202197833477,16360.484422867545,4270.428974999994
4.0,3500.6202197833477,16360.484422867545,4270.428974999994
