Time,,,,,,,A/C Mach,A/C Heading (deg),Weapon LAT (deg),,Weapon ALT (ft),Weapon Downtrack (ft),Weapon Crosstrack (ft),,,,Wpn Heading,Wpn Pitch,Wpn Roll,,S1SYSTM01500,S1SYSTM00505,Target LAT (deg),,Target ALT (ft),S1FCPTT004,S1FCPTT005,,S1STGT101107,Tgt Impact Angle,S1STGT101106,Tgt Impact Heading,S1STGT101108,Tgt Offset North,Tgt Offset East,Tgt Offset Down,S1STGT101004
274:07:05:16.914,,,,,,,0.888579,11.869015,31.856716,,20053.546875,53779.679688,295.444092,,,,12.407711,-0.544997,-3.298791,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:16.977,,,,,,,0.888579,11.869015,31.856866,,20053.757813,53723.179688,298.092834,,,,12.419487,-0.560130,-3.475088,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:17.040,,,,,,,0.888579,11.869015,31.857044,,20054.001953,53656.484375,303.778259,,,,12.411912,-0.550609,-3.690413,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:17.103,,,,,,,0.888579,11.869015,31.857194,,20054.212891,53599.984375,306.394287,,,,12.392640,-0.572425,-3.830257,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:17.166,,,,,,,0.888579,11.869015,31.857372,,20054.453125,53533.273438,315.467407,,,,12.388673,-0.565934,-4.036377,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:17.229,,,,,,,0.888579,11.869015,31.857522,,20054.652344,53476.753906,320.526367,,,,12.398492,-0.594932,-4.152497,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:17.292,,,,,,,0.888579,11.869015,31.857676,,20054.845703,53419.027344,325.838196,,,,12.397190,-0.603076,-4.228129,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:17.355,,,,,,,0.888579,11.869015,31.857826,,20055.029297,53362.554688,324.355988,,,,12.395074,-0.579113,-4.287841,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:17.418,,,,,,,0.888579,11.869015,31.857976,,20055.205078,53306.031250,330.039063,,,,12.389156,-0.614556,-4.343149,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:17.481,,,,,,,0.888579,11.869015,31.858154,,20055.400391,53239.351563,333.045746,,,,12.396976,-0.598531,-4.344602,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:17.544,,,,,,,0.888579,11.869015,31.858304,,20055.556641,53182.832031,338.549866,,,,12.385889,-0.632214,-4.296748,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:17.607,,,,,,,0.887694,11.917974,31.858482,,20055.748047,53116.144531,342.453552,,,,12.370516,-0.601371,-4.236017,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:17.670,,,,,,,0.887694,11.917974,31.858632,,20055.890625,53059.660156,342.304871,,,,12.335814,-0.607523,-4.178245,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:17.733,,,,,,,0.887694,11.917974,31.858782,,20056.031250,53003.136719,348.047760,,,,12.333057,-0.601687,-4.147666,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:17.796,,,,,,,0.887694,11.917974,31.858936,,20056.164063,52945.394531,355.619507,,,,12.324699,-0.589684,-4.036307,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:17.859,,,,,,,0.887694,11.917974,31.859086,,20056.298828,52889.156250,357.702911,,,,12.310717,-0.562753,-3.950237,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:17.922,,,,,,,0.887694,11.917974,31.859264,,20056.458984,52822.449219,364.096191,,,,12.292753,-0.551205,-3.869236,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:17.985,,,,,,,0.887694,11.917974,31.859414,,20056.595703,52765.960938,364.431976,,,,12.289040,-0.554926,-3.783149,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:18.048,,,,,,,0.887694,11.917974,31.859592,,20056.757813,52699.234375,373.609253,,,,12.276079,-0.511765,-3.707962,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:18.111,,,,,,,0.887694,11.917974,31.859742,,20056.900391,52642.742188,374.837341,,,,12.260804,-0.502150,-3.552320,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:18.174,,,,,,,0.887694,11.917974,31.859892,,20057.048828,52586.277344,371.801239,,,,12.264502,-0.475169,-3.463549,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:18.237,,,,,,,0.887694,11.806068,31.860046,,20057.201172,52528.523438,380.513336,,,,12.255364,-0.466799,-3.391001,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:18.300,,,,,,,0.887694,11.806068,31.860220,,20057.382813,52463.070313,379.661011,,,,12.246929,-0.436078,-3.269348,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:18.363,,,,,,,0.887694,11.806068,31.860398,,20057.576172,52396.394531,382.469147,,,,12.235134,-0.438653,-3.111639,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:18.426,,,,,,,0.887694,11.806068,31.860524,,20057.718750,52349.078125,389.741241,,,,12.224433,-0.412762,-3.014000,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:18.489,,,,,,,0.887694,11.806068,31.860698,,20057.931641,52283.632813,389.078369,,,,12.220907,-0.393003,-2.891788,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:18.552,,,,,,,0.887694,11.806068,31.860852,,20058.125000,52225.917969,391.862366,,,,12.200069,-0.406460,-2.794541,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:18.615,,,,,,,0.887694,11.806068,31.861002,,20058.306641,52169.421875,393.274994,,,,12.200129,-0.368308,-2.695381,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:18.678,,,,,,,0.887694,11.806068,31.861152,,20058.515625,52112.933594,393.504181,,,,12.195549,-0.380920,-2.564724,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:18.741,,,,,,,0.887694,11.806068,31.861330,,20058.773438,52046.222656,399.853546,,,,12.190787,-0.362943,-2.489501,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:18.804,,,,,,,0.887694,11.806068,31.861480,,20059.003906,51990.015625,397.333557,,,,12.198468,-0.360404,-2.408494,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:18.867,,,,,,,0.886710,11.806068,31.861658,,20059.285156,51923.308594,402.995148,,,,12.202335,-0.369344,-2.270432,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:18.930,,,,,,,0.886710,11.806068,31.861808,,20059.535156,51866.824219,402.634308,,,,12.193877,-0.360618,-2.159267,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
