Time,Weapon LAT (deg),Weapon LON (deg),Weapon ALT (ft),Target LAT (deg),Target LON (deg),Target ALT (ft),Separation Time
274:07:05:18.552,31.859698248421072,33.96550029748756,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.615,31.85984966692235,33.96553761800794,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.678,31.860001064483548,33.96557493336717,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.741,31.86017986038846,33.965619001668976,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.804,31.86033050415501,33.96565613123843,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.867,31.860509289588542,33.96570019695933,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.930,31.86066067668104,33.96573750973831,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.992,31.860811980018575,33.965774801873984,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:19.055,31.860966685900742,33.96581293264387,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:19.118,31.86111802064706,33.96585023252095,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:19.181,31.861293466353523,33.96589347509044,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:19.244,31.861447376563557,33.965931409748904,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:19.307,31.861622665228797,33.96597461361203,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:19.370,31.861777276887302,33.966012721158364,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:19.433,31.861928810549642,33.9660500700628,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:19.496,31.86203465877096,33.96634487455244,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:19.559,31.862185299952454,33.966381709380954,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:19.622,31.86236418635749,33.9664254507403,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:19.685,31.862515592054876,33.966462472508475,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:19.748,31.86269447845723,33.96650621386716,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:19.811,31.862845779427662,33.966543210027474,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:19.874,31.862997331746005,33.966580267647444,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:19.937,31.863148056710134,33.96661712296251,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:20.000,31.863326806966374,33.966660831030715,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:20.063,31.86347828597424,33.966697870724786,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:20.126,31.86365702575564,33.966741576231676,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:20.189,31.863808431455706,33.96677859800051,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:20.252,31.86395992093573,33.96681564025524,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:20.315,31.864113882003547,33.96685328686338,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:20.378,31.864265329592254,33.96689031887484,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:20.441,31.864440791381327,33.96693322284602,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:20.504,31.864595338927607,33.966971012860064,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:20.567,31.864770863552316,33.96701393219585,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:20.630,31.864921672299086,33.96705080799747,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:20.693,31.865076209373203,33.96708859545085,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:20.756,31.865251539129225,33.966990176022776,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:20.819,31.86540289700001,33.96702734519062,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:20.882,31.865554673712282,33.96706461721397,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:20.945,116.84214770562097,54.83488756616351,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:21.008,242.16360721901873,85.61025682399585,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:21.071,31.866056568251114,33.96718786817052,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:21.134,31.86618402089917,33.96721916689878,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:21.197,31.866338300173965,33.96725705347997,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:21.260,31.866539635987046,33.96730649580227,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:21.323,31.866689486038137,33.96734329469269,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:21.386,57.15419504987442,40.17723204286317,16010.59375,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:21.449,-165.54358988972456,-14.510980103954289,16010.59375,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:21.512,59.54782999862347,40.76504038552239,16010.59375,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:21.575,57.025458074508705,40.145617920514134,16010.59375,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:21.638,55.392763556322606,-90.99186811255653,-38363.394531,31.999672,34.0,15010.59375,274:07:05:21.638
