Stage,Time_s,Percentage
soc_ablation,12.593,23.0%
theta_sensitivity,35.164,64.1%
data_loading,0.019,0.0%
baseline_optimization,5.739,10.5%
figure_generation,1.356,2.5%
Total,54.871,100.0%
