Stage,Time_s,Percentage
soc_ablation,15.648,16.5%
theta_sensitivity,27.118,28.6%
data_loading,0.032,0.0%
baseline_optimization,6.705,7.1%
ablation_studies,42.766,45.1%
figure_generation,2.569,2.7%
Total,94.838,100.0%
